,Unnamed: 0,Material,OC,Proveedor,Cantidad Solicitada,Fecha
0,0,Pallet Madera 4GP 2080x2530x178 NA,5100007736,770835127  SOCIEDAD COMERCIAL PROTI,11,2024-01-24
1,,Pallet BBA 1550x1534x178 Cert,5100007777,770835127  SOCIEDAD COMERCIAL PROTI,38,2024-02-09
2,,Pallet BBA 2500x2315x178 Cert,5100007777,770835127  SOCIEDAD COMERCIAL PROTI,22,2024-02-09
3,,Pallet Madera 4GP3 2080x3030x178 Cert,5100007759,770835127  SOCIEDAD COMERCIAL PROTI,30,2024-02-09
